"","t","PM25"
"1",1496102400,NA
"2",1496106000,8.8
"3",1496109600,8.8
"4",1496113200,9.3
"5",1496116800,8.7
"6",1496120400,9.8
"7",1496124000,12.8
"8",1496127600,13.2
"9",1496131200,15.6
"10",1496134800,17.7
"11",1496138400,14
"12",1496142000,13.7
"13",1496145600,12.9
"14",1496149200,8.2
"15",1496152800,9.1
"16",1496156400,7.8
"17",1496160000,9.5
"18",1496163600,9.9
"19",1496167200,11.1
"20",1496170800,11.1
"21",1496174400,11.3
"22",1496178000,12.1
"23",1496181600,11.2
"24",1496185200,11.6
"25",1496188800,2.9
"26",1496192400,3.8
"27",1496196000,5.6
"28",1496199600,3.5
"29",1496203200,3.9
"30",1496206800,4.3
"31",1496210400,6
"32",1496214000,6.2
"33",1496217600,4.5
"34",1496221200,NA
"35",1496224800,NA
"36",1496228400,NA
"37",1496232000,NA
"38",1496235600,NA
"39",1496239200,NA
"40",1496242800,NA
"41",1496246400,NA
"42",1496250000,NA
"43",1496253600,NA
"44",1496257200,NA
"45",1496260800,NA
"46",1496264400,NA
"47",1496268000,NA
"48",1496271600,NA
"49",1496275200,NA
"50",1496278800,NA
"51",1496282400,NA
"52",1496286000,NA
"53",1496289600,NA
"54",1496293200,NA
"55",1496296800,NA
"56",1496300400,NA
"57",1496304000,NA
"58",1496307600,NA
"59",1496311200,NA
"60",1496314800,NA
"61",1496318400,NA
"62",1496322000,NA
"63",1496325600,NA
"64",1496329200,NA
"65",1496332800,NA
"66",1496336400,NA
"67",1496340000,NA
"68",1496343600,NA
"69",1496347200,NA
"70",1496350800,NA
"71",1496354400,NA
"72",1496358000,NA
"73",1496361600,NA
"74",1496365200,NA
"75",1496368800,NA
"76",1496372400,NA
"77",1496376000,NA
"78",1496379600,NA
"79",1496383200,NA
"80",1496386800,NA
"81",1496390400,NA
"82",1496394000,NA
"83",1496397600,NA
"84",1496401200,NA
"85",1496404800,NA
"86",1496408400,12.8
"87",1496412000,11.8
"88",1496415600,11.2
"89",1496419200,9.8
"90",1496422800,7.8
"91",1496426400,9.2
"92",1496430000,10.9
"93",1496433600,13.6
"94",1496437200,16.8
"95",1496440800,15.1
"96",1496444400,9.3
"97",1496448000,11
"98",1496451600,12.5
"99",1496455200,7.6
"100",1496458800,8.2
"101",1496462400,11.7
"102",1496466000,7.9
"103",1496469600,7.2
"104",1496473200,7.4
"105",1496476800,6.9
"106",1496480400,5.1
"107",1496484000,7
"108",1496487600,5.2
"109",1496491200,6.1
"110",1496494800,7.8
"111",1496498400,4.5
"112",1496502000,2.3
"113",1496505600,7.5
"114",1496509200,4.1
"115",1496512800,3.5
"116",1496516400,3.1
"117",1496520000,0.8
"118",1496523600,3.2
"119",1496527200,2.4
"120",1496530800,0.6
"121",1496534400,2.9
"122",1496538000,3.3
"123",1496541600,3.2
"124",1496545200,6
"125",1496548800,4.5
"126",1496552400,3.5
"127",1496556000,4.9
"128",1496559600,4.8
"129",1496563200,3.5
"130",1496566800,7
"131",1496570400,5.8
"132",1496574000,3.3
"133",1496577600,3.9
"134",1496581200,5.4
"135",1496584800,4.9
"136",1496588400,4
"137",1496592000,4.1
"138",1496595600,4.4
"139",1496599200,2.9
"140",1496602800,5.8
"141",1496606400,4.9
"142",1496610000,6.3
"143",1496613600,5
"144",1496617200,3.3
"145",1496620800,3.7
"146",1496624400,3.7
"147",1496628000,4.1
"148",1496631600,3.7
"149",1496635200,3.5
"150",1496638800,1.7
"151",1496642400,3.9
"152",1496646000,2.1
"153",1496649600,4.7
"154",1496653200,5
"155",1496656800,1.7
"156",1496660400,3.6
"157",1496664000,6.1
"158",1496667600,9.9
"159",1496671200,7
"160",1496674800,3.7
"161",1496678400,3.7
"162",1496682000,3.5
"163",1496685600,4.2
"164",1496689200,4.4
"165",1496692800,1.7
"166",1496696400,6.2
"167",1496700000,9.6
"168",1496703600,9.9
"169",1496707200,8.6
"170",1496710800,9.9
"171",1496714400,6.5
"172",1496718000,5.7
"173",1496721600,4.3
"174",1496725200,7.4
"175",1496728800,2.7
"176",1496732400,5.5
"177",1496736000,4.1
"178",1496739600,4
"179",1496743200,4.3
"180",1496746800,3.2
"181",1496750400,5.2
"182",1496754000,7.1
"183",1496757600,7.2
"184",1496761200,8.1
"185",1496764800,5.8
"186",1496768400,3.9
"187",1496772000,4.3
"188",1496775600,6.9
"189",1496779200,3.8
"190",1496782800,4.6
"191",1496786400,5.8
"192",1496790000,5.9
"193",1496793600,5.5
"194",1496797200,3.8
"195",1496800800,5.8
"196",1496804400,5
"197",1496808000,4.6
"198",1496811600,2.5
"199",1496815200,4.1
"200",1496818800,6.2
"201",1496822400,4.6
"202",1496826000,7.3
"203",1496829600,6.8
"204",1496833200,5.3
"205",1496836800,5.4
"206",1496840400,4.1
"207",1496844000,8.5
"208",1496847600,7.8
"209",1496851200,6.9
"210",1496854800,5
"211",1496858400,5.4
"212",1496862000,7.5
"213",1496865600,7.8
"214",1496869200,6.4
"215",1496872800,5
"216",1496876400,4.9
"217",1496880000,5.8
"218",1496883600,5.6
"219",1496887200,3.8
"220",1496890800,5.3
"221",1496894400,2.5
"222",1496898000,4.4
"223",1496901600,5.7
"224",1496905200,6.3
"225",1496908800,5.9
"226",1496912400,6
"227",1496916000,5.4
"228",1496919600,4.3
"229",1496923200,4
"230",1496926800,7
"231",1496930400,7.7
"232",1496934000,7.4
"233",1496937600,9.9
"234",1496941200,8.1
"235",1496944800,7.6
"236",1496948400,7.7
"237",1496952000,8.4
"238",1496955600,9.8
"239",1496959200,8.5
"240",1496962800,15.3
"241",1496966400,7.5
"242",1496970000,7.6
"243",1496973600,11.6
"244",1496977200,17.9
"245",1496980800,8.6
"246",1496984400,10.4
"247",1496988000,11.8
"248",1496991600,15.4
"249",1496995200,14.1
"250",1496998800,13.7
"251",1497002400,12.1
"252",1497006000,12.5
"253",1497009600,11.8
"254",1497013200,12.3
"255",1497016800,12
"256",1497020400,10
"257",1497024000,8.5
"258",1497027600,7.4
"259",1497031200,6.4
"260",1497034800,8.2
"261",1497038400,7.6
"262",1497042000,9
"263",1497045600,9.5
"264",1497049200,8.6
"265",1497052800,8.8
"266",1497056400,8.8
"267",1497060000,10
"268",1497063600,8.9
"269",1497067200,9.3
"270",1497070800,10.1
"271",1497074400,12.8
"272",1497078000,10
"273",1497081600,11.7
"274",1497085200,8.9
"275",1497088800,7.6
"276",1497092400,8.5
"277",1497096000,9.9
"278",1497099600,9.5
"279",1497103200,10.1
"280",1497106800,10.1
"281",1497110400,6.5
"282",1497114000,8.1
"283",1497117600,9.5
"284",1497121200,9
"285",1497124800,10.5
"286",1497128400,11.3
"287",1497132000,12.5
"288",1497135600,13.2
"289",1497139200,15.6
"290",1497142800,16.5
"291",1497146400,14.1
"292",1497150000,9.4
"293",1497153600,9.1
"294",1497157200,8.7
"295",1497160800,9.7
"296",1497164400,11.3
"297",1497168000,8.4
"298",1497171600,8.7
"299",1497175200,10.7
"300",1497178800,11.8
"301",1497182400,10.4
"302",1497186000,11.1
"303",1497189600,12.1
"304",1497193200,11.5
"305",1497196800,15
"306",1497200400,10.7
"307",1497204000,16.8
"308",1497207600,14
"309",1497211200,13.4
"310",1497214800,12.2
"311",1497218400,10.4
"312",1497222000,11.1
"313",1497225600,13.5
"314",1497229200,11.7
"315",1497232800,9.4
"316",1497236400,6.8
"317",1497240000,4.8
"318",1497243600,5.3
"319",1497247200,3.4
"320",1497250800,6
"321",1497254400,6.3
"322",1497258000,4.9
"323",1497261600,4.4
"324",1497265200,6.6
"325",1497268800,10.7
"326",1497272400,10.2
"327",1497276000,7.7
"328",1497279600,8
"329",1497283200,12.8
"330",1497286800,14.2
"331",1497290400,12
"332",1497294000,10
"333",1497297600,11.4
"334",1497301200,11
"335",1497304800,15
"336",1497308400,16.3
"337",1497312000,14.7
"338",1497315600,14.9
"339",1497319200,13.5
"340",1497322800,11.8
"341",1497326400,11.2
"342",1497330000,11.1
"343",1497333600,13.3
"344",1497337200,15.3
"345",1497340800,14.7
"346",1497344400,15.7
"347",1497348000,13.9
"348",1497351600,13.1
"349",1497355200,17.3
"350",1497358800,17.9
"351",1497362400,16.7
"352",1497366000,17.6
"353",1497369600,19.7
"354",1497373200,20.5
"355",1497376800,19.2
"356",1497380400,20.4
"357",1497384000,20.2
"358",1497387600,15.5
"359",1497391200,14.2
"360",1497394800,15.2
"361",1497398400,12
"362",1497402000,14.4
"363",1497405600,7.8
"364",1497409200,10
"365",1497412800,10.7
"366",1497416400,9.7
"367",1497420000,10.5
"368",1497423600,10.2
"369",1497427200,11.1
"370",1497430800,8.1
"371",1497434400,12.7
"372",1497438000,5.2
"373",1497441600,12.5
"374",1497445200,12.6
"375",1497448800,13.3
"376",1497452400,16.2
"377",1497456000,NA
"378",1497459600,NA
"379",1497463200,NA
"380",1497466800,NA
"381",1497470400,NA
"382",1497474000,NA
"383",1497477600,NA
"384",1497481200,NA
"385",1497484800,NA
"386",1497488400,NA
"387",1497492000,NA
"388",1497495600,NA
"389",1497499200,17
"390",1497502800,10.4
"391",1497506400,7.8
"392",1497510000,9.3
"393",1497513600,13
"394",1497517200,17.3
"395",1497520800,18.3
"396",1497524400,18.3
"397",1497528000,16.1
"398",1497531600,14.9
"399",1497535200,13.7
"400",1497538800,16
"401",1497542400,12.7
"402",1497546000,11
"403",1497549600,13.4
"404",1497553200,15.9
"405",1497556800,15.5
"406",1497560400,10.5
"407",1497564000,13.6
"408",1497567600,14.2
"409",1497571200,13.8
"410",1497574800,12.2
"411",1497578400,12.7
"412",1497582000,11.5
"413",1497585600,11.6
"414",1497589200,9.6
"415",1497592800,11.4
"416",1497596400,10.8
"417",1497600000,8.3
"418",1497603600,8.3
"419",1497607200,6.3
"420",1497610800,8.5
"421",1497614400,9.1
"422",1497618000,7.8
"423",1497621600,7.8
"424",1497625200,6.4
"425",1497628800,4.5
"426",1497632400,5.3
"427",1497636000,5.6
"428",1497639600,4.6
"429",1497643200,6.2
"430",1497646800,8.5
"431",1497650400,7.8
"432",1497654000,9.7
"433",1497657600,7.7
"434",1497661200,6.4
"435",1497664800,6.9
"436",1497668400,4
"437",1497672000,6.3
"438",1497675600,4.7
"439",1497679200,5.1
"440",1497682800,5.8
"441",1497686400,7.4
"442",1497690000,8.9
"443",1497693600,8.8
"444",1497697200,6.2
"445",1497700800,4
"446",1497704400,3.6
"447",1497708000,4.7
"448",1497711600,5.7
"449",1497715200,6.6
"450",1497718800,8.3
"451",1497722400,6.1
"452",1497726000,7.9
"453",1497729600,6.2
"454",1497733200,8
"455",1497736800,6.9
"456",1497740400,6.4
"457",1497744000,11.2
"458",1497747600,12.3
"459",1497751200,10.3
"460",1497754800,8.4
"461",1497758400,8.5
"462",1497762000,7.6
"463",1497765600,8.9
"464",1497769200,7.1
"465",1497772800,7.1
"466",1497776400,8
"467",1497780000,4.9
"468",1497783600,4.6
"469",1497787200,7.1
"470",1497790800,5.4
"471",1497794400,7.3
"472",1497798000,8.9
"473",1497801600,11
"474",1497805200,8.7
"475",1497808800,8.5
"476",1497812400,7.5
"477",1497816000,8.2
"478",1497819600,12.5
"479",1497823200,10
"480",1497826800,13.1
"481",1497830400,13.6
"482",1497834000,13
"483",1497837600,11.9
"484",1497841200,14.7
"485",1497844800,14.2
"486",1497848400,13.5
"487",1497852000,13.3
"488",1497855600,13.4
"489",1497859200,13.1
"490",1497862800,14.3
"491",1497866400,14.7
"492",1497870000,14.2
"493",1497873600,12.3
"494",1497877200,13.6
"495",1497880800,11.8
"496",1497884400,12.3
"497",1497888000,14.6
"498",1497891600,15.8
"499",1497895200,15.4
"500",1497898800,13.5
"501",1497902400,11.9
"502",1497906000,10.8
"503",1497909600,9.5
"504",1497913200,9.3
"505",1497916800,9.8
"506",1497920400,19.3
"507",1497924000,16.1
"508",1497927600,11.8
"509",1497931200,12.5
"510",1497934800,12.9
"511",1497938400,11.6
"512",1497942000,10.5
"513",1497945600,13.2
"514",1497949200,12
"515",1497952800,11.7
"516",1497956400,13.6
"517",1497960000,14.6
"518",1497963600,18.1
"519",1497967200,17.5
"520",1497970800,15.8
"521",1497974400,17.2
"522",1497978000,16
"523",1497981600,16.5
"524",1497985200,17.5
"525",1497988800,19.8
"526",1497992400,16.6
"527",1497996000,17.6
"528",1497999600,14.9
"529",1498003200,15.8
"530",1498006800,14.3
"531",1498010400,14.5
"532",1498014000,15.2
"533",1498017600,12.6
"534",1498021200,13.5
"535",1498024800,14.4
"536",1498028400,15.9
"537",1498032000,21.2
"538",1498035600,17.8
"539",1498039200,18
"540",1498042800,17.4
"541",1498046400,17.2
"542",1498050000,15.7
"543",1498053600,19
"544",1498057200,19.8
"545",1498060800,16.5
"546",1498064400,14.5
"547",1498068000,15.2
"548",1498071600,15.9
"549",1498075200,15.3
"550",1498078800,14.9
"551",1498082400,12.9
"552",1498086000,15.1
"553",1498089600,16.2
"554",1498093200,17.1
"555",1498096800,17.3
"556",1498100400,17.8
"557",1498104000,16
"558",1498107600,16.2
"559",1498111200,16.9
"560",1498114800,16.7
"561",1498118400,14.9
"562",1498122000,19.9
"563",1498125600,15.4
"564",1498129200,15.6
"565",1498132800,21.3
"566",1498136400,19.8
"567",1498140000,19.4
"568",1498143600,21.1
"569",1498147200,18.5
"570",1498150800,19.1
"571",1498154400,17
"572",1498158000,16.9
"573",1498161600,17.2
"574",1498165200,18.2
"575",1498168800,23.8
"576",1498172400,15.1
"577",1498176000,16.5
"578",1498179600,19
"579",1498183200,13.2
"580",1498186800,8.3
"581",1498190400,2
"582",1498194000,6.2
"583",1498197600,6.4
"584",1498201200,8.9
"585",1498204800,7.5
"586",1498208400,7.9
"587",1498212000,4.9
"588",1498215600,7.7
"589",1498219200,8.4
"590",1498222800,8.6
"591",1498226400,10
"592",1498230000,7
"593",1498233600,8.2
"594",1498237200,4.2
"595",1498240800,4.9
"596",1498244400,10.5
"597",1498248000,6.7
"598",1498251600,8.3
"599",1498255200,7.1
"600",1498258800,6.8
"601",1498262400,6.8
"602",1498266000,6.7
"603",1498269600,9.3
"604",1498273200,9
"605",1498276800,8.5
"606",1498280400,7.7
"607",1498284000,6.6
"608",1498287600,9.8
"609",1498291200,6.1
"610",1498294800,5.7
"611",1498298400,9
"612",1498302000,10
"613",1498305600,6.6
"614",1498309200,7.7
"615",1498312800,5.8
"616",1498316400,4.6
"617",1498320000,3.8
"618",1498323600,6.2
"619",1498327200,5.9
"620",1498330800,4.2
"621",1498334400,3.1
"622",1498338000,7.6
"623",1498341600,5.1
"624",1498345200,8.2
"625",1498348800,6.8
"626",1498352400,6.5
"627",1498356000,3.7
"628",1498359600,5.1
"629",1498363200,5.9
"630",1498366800,5.6
"631",1498370400,7.3
"632",1498374000,8.5
"633",1498377600,5.2
"634",1498381200,7
"635",1498384800,5.7
"636",1498388400,6.6
"637",1498392000,9.2
"638",1498395600,6.7
"639",1498399200,7.6
"640",1498402800,6.6
"641",1498406400,5.1
"642",1498410000,8.9
"643",1498413600,9.4
"644",1498417200,8.7
"645",1498420800,7.8
"646",1498424400,12.7
"647",1498428000,9.5
"648",1498431600,12
"649",1498435200,11.9
"650",1498438800,10.7
"651",1498442400,7
"652",1498446000,7.1
"653",1498449600,12.7
"654",1498453200,14.1
"655",1498456800,13.9
"656",1498460400,8.3
"657",1498464000,13.5
"658",1498467600,11.6
"659",1498471200,9.5
"660",1498474800,8.5
"661",1498478400,8.7
"662",1498482000,7.7
"663",1498485600,11.7
"664",1498489200,13.4
"665",1498492800,11.5
"666",1498496400,7.4
"667",1498500000,7.3
"668",1498503600,7.3
"669",1498507200,7.2
"670",1498510800,6.3
"671",1498514400,10.5
"672",1498518000,9.5
"673",1498521600,7.3
"674",1498525200,8.1
"675",1498528800,9.5
"676",1498532400,7.6
"677",1498536000,5.2
"678",1498539600,7.7
"679",1498543200,8.6
"680",1498546800,9.9
"681",1498550400,9.9
"682",1498554000,13.8
"683",1498557600,12.2
"684",1498561200,13.7
"685",1498564800,12.1
"686",1498568400,11
"687",1498572000,9.2
"688",1498575600,10.1
"689",1498579200,17.5
"690",1498582800,2.9
"691",1498586400,6.5
"692",1498590000,2.2
"693",1498593600,0.2
"694",1498597200,3.4
"695",1498600800,6.1
"696",1498604400,2.4
"697",1498608000,5.4
"698",1498611600,7.7
"699",1498615200,6
"700",1498618800,4.9
"701",1498622400,4.2
"702",1498626000,3.4
"703",1498629600,4.8
"704",1498633200,5.1
"705",1498636800,4
"706",1498640400,4.6
"707",1498644000,2.9
"708",1498647600,2.1
"709",1498651200,2
"710",1498654800,2.1
"711",1498658400,2.4
"712",1498662000,3.1
"713",1498665600,4.2
"714",1498669200,NA
"715",1498672800,NA
"716",1498676400,NA
"717",1498680000,NA
"718",1498683600,NA
"719",1498687200,NA
